# Frequency (microHz)     Power spectral density (ppm^2/microHz)
  70.0061607596   98.8188812801
  70.0152207002    0.3650982086
  70.0242806407   59.7105981423
  70.0333405813  115.3395343386
  70.0424005219    7.1926353503
  70.0514604624   59.2374661373
  70.0605204030    4.7988805575
  70.0695803436   17.3408916036
  70.0786402841   34.4958795928
  70.0877002247   17.6832775198
  70.0967601653   19.5888469719
  70.1058201058  128.4860965970
  70.1148800464   82.3171986987
  70.1239399870  125.4771914886
  70.1329999275   61.7496285768
  70.1420598681   69.1280387896
  70.1511198087   72.3731505898
  70.1601797492    8.1935078672
  70.1692396898  165.5103376062
  70.1782996304    8.5675086731
  70.1873595709   27.5690783703
  70.1964195115   17.9101525936
  70.2054794521    3.3051789033
  70.2145393926  188.5246767328
  70.2235993332   38.7216900022
  70.2326592738   46.3326665434
  70.2417192143   27.7713067297
  70.2507791549   88.1594690692
  70.2598390955  321.4629018834
  70.2688990360  202.1609683551
  70.2779589766   14.6838576959
  70.2870189172   66.7371324376
  70.2960788577  113.2805770792
  70.3051387983   43.2244372190
  70.3141987389   31.5599061706
  70.3232586794   47.9021279359
  70.3323186200  405.3375022053
  70.3413785606    0.6063692699
  70.3504385011   84.4554631117
  70.3594984417   84.2084336343
  70.3685583823   23.4815212114
  70.3776183228  136.7896422093
  70.3866782634   25.3439798912
  70.3957382040   62.0583476298
  70.4047981445   14.3364169404
  70.4138580851   62.2718392069
  70.4229180257  158.1235481113
  70.4319779662  130.3341959338
  70.4410379068   14.3447334728
  70.4500978474   68.9730602122
  70.4591577879   39.0232953235
  70.4682177285   83.4612195008
  70.4772776691   38.7287089378
  70.4863376096   90.4200316085
  70.4953975502    8.5666017414
  70.5044574908   58.2974085398
  70.5135174313   28.6082680409
  70.5225773719   71.4548989835
  70.5316373125   17.6664481292
  70.5406972530   67.9216041073
  70.5497571936   19.9761336421
  70.5588171342    2.1807675423
  70.5678770747   59.7271571283
  70.5769370153  156.5872816510
  70.5859969559   74.0973318517
  70.5950568964   83.4692124542
  70.6041168370   61.9475719982
  70.6131767776  105.8927959531
  70.6222367181   12.3105060838
  70.6312966587   68.2794196442
  70.6403565993   13.8350168392
  70.6494165398  152.7644159224
  70.6584764804   57.7708419677
  70.6675364210   39.4105597919
  70.6765963615    4.0198677087
  70.6856563021  204.4552490624
  70.6947162427  103.8092126047
  70.7037761832   20.1786107152
  70.7128361238  107.4484706839
  70.7218960644  114.9185857316
  70.7309560049   81.2113711146
  70.7400159455  103.5033069336
  70.7490758861  146.5866060694
  70.7581358266   14.2332325771
  70.7671957672   11.5433324956
  70.7762557078  122.8027649058
  70.7853156483  142.7561452802
  70.7943755889   54.6640208735
  70.8034355295   80.3247541789
  70.8124954700   30.0378928357
  70.8215554106   15.0446037639
  70.8306153512  135.1167697941
  70.8396752917  180.4228170454
  70.8487352323   60.5753534527
  70.8577951729   24.0810123747
  70.8668551134    8.7297238591
  70.8759150540  256.5990154644
  70.8849749946   49.9913138073
  70.8940349351   36.5918873638
  70.9030948757   43.7995517650
  70.9121548163   46.7946919150
  70.9212147568   97.1121443649
  70.9302746974    1.3745510338
  70.9393346380   42.7039504359
  70.9483945785  112.3506503745
  70.9574545191   57.1823724660
  70.9665144597   53.0942104031
  70.9755744002   28.6774735861
  70.9846343408   15.2638368901
  70.9936942814   49.1841825535
  71.0027542219  124.5758532868
  71.0118141625   45.0674862075
  71.0208741031  133.7771766782
  71.0299340436   15.8490473239
  71.0389939842   28.8546242945
  71.0480539248    3.8512638962
  71.0571138653   27.0398928246
  71.0661738059    9.0124584102
  71.0752337465   27.3246122343
  71.0842936870  183.7845629307
  71.0933536276  220.8077691655
  71.1024135682   24.4362083505
  71.1114735087  176.4278290180
  71.1205334493   23.2274185456
  71.1295933899   97.3339628658
  71.1386533304   46.6392489658
  71.1477132710  318.3806935641
  71.1567732116   63.0795573867
  71.1658331521  105.2550160264
  71.1748930927  152.3334463711
  71.1839530333  214.0773378217
  71.1930129738   67.7820749504
  71.2020729144   37.9046095568
  71.2111328550  113.6898506218
  71.2201927955   23.2109659686
  71.2292527361  241.5767287056
  71.2383126767   90.6931843510
  71.2473726172   91.4565254173
  71.2564325578   44.9043438085
  71.2654924984  195.0682430252
  71.2745524389   25.5352579995
  71.2836123795    5.7676829433
  71.2926723201   37.9294516613
  71.3017322606   65.0325070331
  71.3107922012   69.8448282658
  71.3198521418   67.2939103137
  71.3289120823  117.5309535669
  71.3379720229   22.9171742497
  71.3470319635  182.7872778188
  71.3560919040   68.8050200693
  71.3651518446  104.1649403786
  71.3742117852  391.1890717868
  71.3832717257   36.0999557306
  71.3923316663  175.5245893961
  71.4013916069   27.3808522382
  71.4104515474  175.4441791834
  71.4195114880    3.1758275988
  71.4285714286  104.0492008268
  71.4376313691   44.9834175917
  71.4466913097   40.4994517992
  71.4557512503  199.8851196600
  71.4648111908   77.0080852616
  71.4738711314  520.4333197710
  71.4829310720    0.5032479302
  71.4919910125   39.3876777508
  71.5010509531   18.6342130526
  71.5101108937   49.6790628487
  71.5191708342   77.0664930620
  71.5282307748  128.9191502034
  71.5372907154   31.5759020912
  71.5463506559   65.1283617548
  71.5554105965  130.5266391679
  71.5644705371    1.8153103104
  71.5735304776  104.3678396929
  71.5825904182   13.1056631164
  71.5916503588   65.7126966639
  71.6007102993   78.9665619101
  71.6097702399   46.3527416569
  71.6188301805   67.9167770131
  71.6278901210   73.3258199112
  71.6369500616   83.8244719256
  71.6460100022   43.5638302957
  71.6550699427  137.2374543512
  71.6641298833    3.1732103450
  71.6731898239   98.4008681551
  71.6822497644  130.0956956319
  71.6913097050  228.9163510406
  71.7003696456    6.9412416604
  71.7094295861  183.1709743691
  71.7184895267   27.7760209142
  71.7275494673  100.0699106775
  71.7366094078  142.0550261243
  71.7456693484   37.3581958869
  71.7547292890   19.9690101124
  71.7637892295   16.4314161204
  71.7728491701   93.3025157880
  71.7819091107    5.5424661074
  71.7909690512   45.9254795864
  71.8000289918  118.2487689239
  71.8090889324  146.6295527641
  71.8181488729   34.6862004702
  71.8272088135   50.6702368400
  71.8362687541   68.8870035799
  71.8453286946  175.1864058090
  71.8543886352   33.1656808883
  71.8634485758   27.9455062310
  71.8725085163    7.5828151496
  71.8815684569    2.2572990909
  71.8906283975   65.4202136604
  71.8996883380   11.3539749094
  71.9087482786  238.5342813392
  71.9178082192   94.6552011302
  71.9268681597   82.1039374946
  71.9359281003   92.5184067192
  71.9449880409   21.3290354629
  71.9540479814   80.6652350182
  71.9631079220  141.3447153999
  71.9721678626   68.1494638549
  71.9812278031  202.7585386288
  71.9902877437   79.0339241591
  71.9993476843  199.0688669507
  72.0084076248   25.7943289667
  72.0174675654   46.7322233943
  72.0265275060   35.7550549196
  72.0355874465  182.5461796881
  72.0446473871   52.7518323625
  72.0537073277   19.3303706613
  72.0627672682  154.7069718428
